answer|answerValue|victory|guesses|values|rounds
chick|4062|true|cares, conky, cluck, chick|11687, 6821, 0, 0|4
chide|5613|true|cares, conte, chile, chide|11687, 7581, 6006, 5613|4
chief|5880|true|cares, coney, culet, cimex, chief|11687, 8908, 7078, 6000, 5880|5
child|5001|true|cares, conky, child|11687, 6821, 5001|3
chili|4351|true|cares, conky, child, chill, chili|11687, 6821, 5001, 0, 4351|5
chill|4692|true|cares, conky, child, chill|11687, 6821, 5001, 0|4
chime|5543|true|cares, conte, chile, chide, chime|11687, 7581, 6006, 5613, 5543|5
china|4841|true|cares, conia, china|11687, 6380, 4841|3
chirp|4201|false|cares, cowry, chirt, chirl, chirr, chirk|11687, 6328, 4978, 4630, 4883, 4370|6
chock|3982|true|cares, conky, chowk, chook, chock|11687, 6821, 3572, 0, 3982|5
choir|4970|true|cares, choir|11687, 4970|2
choke|5551|true|cares, conte, cloke, choke|11687, 7581, 5761, 5551|4
chord|4859|true|cares, cowry, chord|11687, 6328, 4859|3
chore|5864|true|cares, coure, chore|11687, 7144, 5864|3
chose|5680|true|cares, copse, close, chose|11687, 6550, 5890, 5680|4
chuck|3577|true|cares, conky, cluck, chuck|11687, 6821, 0, 0|4
chump|3315|true|cares, conky, child, chump|11687, 6821, 5001, 3315|4
chunk|3984|true|cares, conky, clink, chunk|11687, 6821, 4679, 3984|4
churn|4173|true|cares, cowry, chirt, churn|11687, 6328, 4978, 4173|4
chute|5625|true|cares, conte, chute|11687, 7581, 5625|3
cider|6700|true|cares, comer, citer, cider|11687, 7597, 6962, 6700|4
cigar|5258|true|cares, cimar, cigar|11687, 5399, 5258|3
cinch|4880|true|cares, conky, cunit, cinch|11687, 6821, 5614, 0|4
circa|5373|true|cares, coria, circa|11687, 6638, 0|3
civic|4190|true|cares, conky, child, civic|11687, 6821, 5001, 0|4
civil|4664|true|cares, conky, child, civil|11687, 6821, 5001, 0|4
clack|4498|true|cares, coaly, claut, clank, clack|11687, 7636, 5026, 4905, 4498|5
claim|4825|true|cares, coaly, claut, clank, claim|11687, 7636, 5026, 4905, 4825|5
clamp|4236|true|cares, coaly, claut, clank, claim, clamp|11687, 7636, 5026, 4905, 4825, 4236|6
clang|4717|true|cares, coaly, claut, clank, clang|11687, 7636, 5026, 4905, 4717|5
clank|4905|true|cares, coaly, claut, clank|11687, 7636, 5026, 4905|4
clash|4759|true|cares, coast, clash|11687, 6705, 4759|3
clasp|4453|true|cares, coast, clash, clasp|11687, 6705, 4759, 4453|4
class|8244|true|cares, coats, clans, clads, class|11687, 10069, 8527, 8097, 8244|5
clean|4976|true|cares, cleat, clean|11687, 5296, 4976|3
clear|5201|true|cares, clear|11687, 5201|2
cleat|5296|true|cares, cleat|11687, 5296|2
cleft|4327|true|cares, chevy, clept, cleft|11687, 4736, 4527, 4327|4
clerk|4322|true|cares, chert, clerk|11687, 4720, 4322|3
click|4272|true|cares, conky, cluck, click|11687, 6821, 0, 0|4
cliff|3713|true|cares, conky, child, clipt, climb, cliff|11687, 6821, 5001, 4785, 3877, 3713|6
climb|3877|true|cares, conky, child, clipt, climb|11687, 6821, 5001, 4785, 3877|5
cling|4491|true|cares, conky, clint, cling|11687, 6821, 5287, 4491|4
clink|4679|true|cares, conky, clink|11687, 6821, 4679|3
cloak|4866|true|cares, copay, cloak|11687, 6819, 4866|3
clock|4192|true|cares, conky, chowk, clock|11687, 6821, 3572, 0|4
clone|6173|true|cares, conte, clone|11687, 7581, 6173|3
close|5890|true|cares, copse, close|11687, 6550, 5890|3
cloth|4803|true|cares, conky, cloth|11687, 6821, 4803|3
cloud|4681|true|cares, conky, cloth, cloud|11687, 6821, 4803, 4681|4
clout|4720|true|cares, conky, cloth, clout|11687, 6821, 4803, 4720|4
clove|5405|true|cares, conte, cloke, clove|11687, 7581, 5761, 5405|4
clown|4070|true|cares, conky, clown|11687, 6821, 4070|3
cluck|3787|true|cares, conky, cluck|11687, 6821, 0|3
clued|6438|true|cares, coney, culet, clued|11687, 8908, 7078, 6438|4
clump|3525|true|cares, conky, child, clump|11687, 6821, 5001, 3525|4
clung|4006|true|cares, conky, clint, clung|11687, 6821, 5287, 4006|4
coach|6110|true|cares, coaly, coapt, coach|11687, 7636, 6486, 0|4
coast|6705|true|cares, coast|11687, 6705|2
cobra|5502|true|cares, copra, cobra|11687, 5532, 5502|3
cocoa|5517|true|cares, conia, couta, colza, cocoa|11687, 6380, 6108, 5345, 5517|5
colon|5945|true|cares, conky, colin, colon|11687, 6821, 6153, 0|4
color|6170|true|cares, choir, color|11687, 4970, 0|3
comet|7692|true|cares, coney, coled, comet|11687, 8908, 8041, 7692|4
comfy|6000|true|cares, conky, colby, comfy|11687, 6821, 6387, 6000|4
comic|5263|true|cares, conky, could, compt, comic|11687, 6821, 6201, 5515, 5263|5
comma|5281|true|cares, conia, couta, colza, cocoa, comma|11687, 6380, 6108, 5345, 5517, 5281|6
conch|5670|true|cares, conky, convo, conto, conin, conch|11687, 6821, 0, 0, 6296, 5670|6
condo|5585|true|cares, conky, convo, conto, condo|11687, 6821, 0, 0, 5585|5
conic|5794|true|cares, conky, convo, conto, conin, conic|11687, 6821, 0, 0, 6296, 5794|6
copse|6550|true|cares, copse|11687, 6550|2
coral|6725|true|cares, coral|11687, 6725|2
corer|8386|true|cares, corey, cored, corer|11687, 9166, 8442, 0|4
corny|7491|true|cares, corny|11687, 7491|2
couch|5399|true|cares, conky, could, couth, couch|11687, 6821, 6201, 5873, 5399|5
cough|5335|true|cares, conky, could, couth, couch, cough|11687, 6821, 6201, 5873, 5399, 5335|6
could|6201|true|cares, conky, could|11687, 6821, 6201|3
count|6277|true|cares, conky, count|11687, 6821, 6277|3
coupe|6741|true|cares, conte, cogie, coude, coupe|11687, 7581, 6910, 6813, 6741|5
court|6178|true|cares, cowry, court|11687, 6328, 6178|3
coven|7089|true|cares, coney, coden, copen, coven|11687, 8908, 7265, 7222, 7089|5
cover|7314|false|cares, comer, coder, coper, corer, cooer|11687, 7597, 7490, 7447, 8386, 8262|6
covet|7409|true|cares, coney, coled, comet, covet|11687, 8908, 8041, 7692, 7409|5
covey|8094|true|cares, coney, coley, covey|11687, 8908, 8765, 8094|4
cower|7322|false|cares, comer, coder, coper, corer, cooer|11687, 7597, 7490, 7447, 8386, 8262|6
coyly|6335|true|cares, conky, colby, coyly|11687, 6821, 6387, 0|4
crack|4805|true|cares, crapy, crank, crack|11687, 6003, 5212, 0|4
craft|5118|true|cares, crapy, crank, craft|11687, 6003, 5212, 5118|4
cramp|4543|true|cares, crapy, cramp|11687, 6003, 4543|3
crane|6786|true|cares, crate, crane|11687, 6853, 6786|3
crank|5212|true|cares, crapy, crank|11687, 6003, 5212|3
crash|5066|true|cares, crash|11687, 5066|2
crass|8551|true|cares, crans, crags, crams, crass|11687, 8834, 8363, 8334, 8551|5
crate|6853|true|cares, crate|11687, 6853|2
crave|6018|false|cares, crate, crane, crake, crare, crame|11687, 6853, 6786, 6374, 6687, 6286|6
crawl|4655|true|cares, crapy, crank, craft, craal, crawl|11687, 6003, 5212, 5118, 5739, 4655|6
craze|5962|false|cares, crate, crane, crake, crare, crame|11687, 6853, 6786, 6374, 6687, 6286|6
crazy|5681|true|cares, crapy, crazy|11687, 6003, 5681|3
creak|4995|true|cares, creak|11687, 4995|2
cream|4847|true|cares, creak, cream|11687, 4995, 4847|3
credo|4373|true|cares, crepy, credo|11687, 5519, 4373|3
creed|6972|true|cares, cried, creed|11687, 7230, 0|3
creek|6403|true|cares, cried, cruet, cryer, creel, creek|11687, 7230, 6784, 0, 6663, 6403|6
creep|6234|false|cares, cried, cruet, cryer, creel, creek|11687, 7230, 6784, 0, 6663, 6403|6
creme|5802|true|cares, crepy, credo, crewe, creme|11687, 5519, 4373, 0, 5802|5
crepe|5800|true|cares, crepy, crept, crepe|11687, 5519, 4834, 0|4
crept|4834|true|cares, crepy, crept|11687, 5519, 4834|3
cress|8067|true|cares, creds, crems, creps, crees, cress|11687, 7920, 7850, 7848, 10025, 8067|6
crest|5053|true|cares, crest|11687, 5053|2
crick|4579|true|cares, crony, crith, crimp, crick|11687, 6199, 5190, 4317, 4579|5
cried|7230|true|cares, cried|11687, 7230|2
crier|7174|true|cares, cried, crier|11687, 7230, 0|3
crime|6060|true|cares, crine, crime|11687, 6560, 6060|3
crimp|4317|true|cares, crony, crith, crimp|11687, 6199, 5190, 4317|4
crisp|4534|true|cares, crusy, crost, crisp|11687, 5511, 5231, 4534|4
croak|5173|true|cares, croak|11687, 5173|2
crock|4499|false|cares, crony, crout, crowd, crool, crook|11687, 6199, 5027, 4658, 5026, 4766|6
crone|6480|true|cares, crine, crone|11687, 6560, 6480|3
crony|6199|true|cares, crony|11687, 6199|2
crook|4766|true|cares, crony, crout, crowd, crool, crook|11687, 6199, 5027, 4658, 5026, 4766|6
cross|8245|true|cares, crits, crons, crogs, cross|11687, 8675, 8528, 8057, 8245|5
croup|4250|true|cares, crony, crout, croup|11687, 6199, 5027, 4250|4
crowd|4658|true|cares, crony, crout, crowd|11687, 6199, 5027, 4658|4
crown|4377|true|cares, crony, crown|11687, 6199, 4377|3
crude|5645|true|cares, crine, crome, crude|11687, 6560, 5980, 5645|4
cruel|6436|true|cares, cried, cruet, cruel|11687, 7230, 6784, 6436|4
crumb|3699|true|cares, crony, crith, crump, crumb|11687, 6199, 5190, 3832, 3699|5
crump|3832|true|cares, crony, crith, crump|11687, 6199, 5190, 3832|4
crush|4355|true|cares, crusy, crust, crush|11687, 5511, 4826, 4355|4
crust|4826|true|cares, crusy, crust|11687, 5511, 4826|3
crypt|4017|true|cares, crony, crypt|11687, 6199, 4017|3
cubic|4081|true|cares, conky, child, cubit, cubic|11687, 6821, 5001, 4903, 4081|5
cumin|4763|true|cares, conky, cutin, cumin|11687, 6821, 4918, 4763|4
curio|5339|true|cares, corny, curio|11687, 7491, 5339|3
curly|6452|true|cares, corny, curly|11687, 7491, 6452|3
curry|6390|true|cares, corny, curly, curdy, curry|11687, 7491, 6452, 6059, 6390|5
curse|6487|true|cares, corse, curse|11687, 7489, 6487|3
curve|6002|true|cares, corbe, curie, curve|11687, 7069, 6838, 6002|4
curvy|5721|true|cares, corny, curly, curdy, curry, curvy|11687, 7491, 6452, 6059, 6390, 5721|6
cutie|6204|true|cares, conte, cutie|11687, 7581, 6204|3
cyber|5336|true|cares, comer, citer, cuber, cyber|11687, 7597, 6962, 6415, 5336|5
cycle|4741|true|cares, conte, chile, cycle|11687, 7581, 6006, 0|4
cynic|3713|true|cares, conky, cynic|11687, 6821, 0|3
daddy|6033|true|cares, banty, daily, dampy, daddy|11687, 7454, 7278, 6068, 6033|5
daily|7278|true|cares, banty, daily|11687, 7454, 7278|3
dairy|7216|true|cares, dairy|11687, 7216|2
daisy|7032|true|cares, daisy|11687, 7032|2
dally|6921|true|cares, banty, daily, dally|11687, 7454, 7278, 0|4
dance|6975|true|cares, pance, dance|11687, 7180, 6975|3
dandy|6671|true|cares, banty, manly, pandy, dandy|11687, 7454, 7068, 6876, 6671|5
datum|4797|true|cares, banty, patio, datum|11687, 7454, 5780, 4797|4
daunt|6145|true|cares, banty, paint, daunt|11687, 7454, 6835, 6145|4
dealt|6122|true|cares, beaty, meant, dealt|11687, 7197, 6163, 6122|4
death|5755|true|cares, beaty, meath, death|11687, 7197, 5759, 5755|4
debar|5180|true|cares, belar, debar|11687, 6034, 5180|3
debit|5076|true|cares, benty, debit|11687, 6757, 5076|3
debug|3725|true|cares, benty, debug|11687, 6757, 3725|3
debut|4521|true|cares, benty, debit, debut|11687, 6757, 5076, 4521|4
decal|4983|true|cares, decay, decan, decal|11687, 6016, 5011, 4983|4
decay|6016|true|cares, decay|11687, 6016|2
decor|4829|true|cares, decor|11687, 4829|2
decoy|5609|true|cares, decoy|11687, 5609|2
decry|5650|true|cares, decry|11687, 5650|2
defer|6399|true|cares, boner, piler, muter, ferer, defer|11687, 8090, 7076, 6430, 7495, 6399|6
deign|5142|true|cares, benty, pelon, deign|11687, 6757, 5321, 5142|4
deity|6685|true|cares, benty, deity|11687, 6757, 6685|3
delay|6528|true|cares, belay, delay|11687, 6814, 6528|3
delta|5407|true|cares, tenia, pelta, delta|11687, 5719, 5612, 5407|4
delve|5774|true|cares, benty, geoid, delph, deled, delve|11687, 6757, 5839, 4603, 7212, 5774|6
demon|4728|true|cares, benty, pelon, demon|11687, 6757, 5321, 4728|4
demur|4606|true|cares, tenor, demur|11687, 5652, 4606|3
denim|5031|true|cares, benty, denim|11687, 6757, 5031|3
dense|6402|true|cares, deist, desse, dense|11687, 5650, 0, 0|4
depot|4898|true|cares, benty, demit, depot|11687, 6757, 5256, 4898|4
depth|4634|true|cares, benty, meith, depth|11687, 6757, 5533, 4634|4
derby|5959|true|cares, derny, derby|11687, 6662, 5959|3
deter|6923|true|cares, boner, piler, muter, deter|11687, 8090, 7076, 6430, 6923|5
detox|4301|true|cares, benty, fetid, detox|11687, 6757, 5310, 4301|4
deuce|6007|true|cares, bench, telco, peece, deice, deuce|11687, 5127, 4804, 0, 6492, 6007|6
devil|4625|true|cares, benty, geoid, devil|11687, 6757, 5839, 4625|4
diary|6460|true|cares, goary, diary|11687, 7207, 6460|3
dicey|7139|true|cares, dicey|11687, 7139|2
digit|4830|true|cares, ponty, built, might, digit|11687, 7181, 5685, 4059, 4830|5
dilly|5939|true|cares, ponty, bilgy, milky, dilly|11687, 7181, 5791, 5568, 5939|5
dimly|5551|true|cares, ponty, bilgy, dimly|11687, 7181, 5791, 5551|4
diner|7014|true|cares, boner, miner, diner|11687, 8090, 7018, 7014|4
dingo|4430|true|cares, ponty, bingo, dingo|11687, 7181, 4716, 4430|4
dingy|5648|true|cares, ponty, bingy, mingy, dingy|11687, 7181, 5934, 5652, 5648|5
diode|6104|true|cares, boite, pioye, diode|11687, 7757, 5880, 0|4
dirge|6187|true|cares, borne, dirke, dirge|11687, 7734, 6246, 6187|4
dirty|6444|true|cares, borty, dirty|11687, 7520, 6444|3
disco|4004|true|cares, pisco, disco|11687, 4209, 4004|3
ditch|4180|true|cares, poncy, mulct, bitch, titch, ditch|11687, 6707, 4676, 4466, 4348, 4180|6
ditto|4592|true|cares, ponty, motto, lotto, ditto|11687, 7181, 0, 0, 4592|5
ditty|5810|false|cares, ponty, milty, wifty, bitty, titty|11687, 7181, 6047, 4986, 6096, 5978|6
diver|6200|true|cares, boner, piler, timer, direr, diver|11687, 8090, 7076, 6651, 7272, 6200|6
dizzy|4345|false|cares, ponty, bilgy, widdy, diddy, divvy|11687, 7181, 5791, 0, 5051, 4537|6
dodge|6081|true|cares, boite, poule, monde, dodge|11687, 7757, 7087, 6764, 6081|5
dodgy|5800|false|cares, ponty, doily, dowdy, doody, doomy|11687, 7181, 7086, 0, 6613, 6543|6
dogma|4816|true|cares, gonia, dogma|11687, 6013, 4816|3
doing|5642|true|cares, ponty, bound, doing|11687, 7181, 6200, 5642|4
dolly|6729|true|cares, ponty, doily, dowly, dooly, dolly|11687, 7181, 7086, 6066, 7006, 6729|6
donor|5989|true|cares, minor, honor, donor|11687, 5203, 0, 0|4
donut|5737|true|cares, ponty, donut|11687, 7181, 5737|3
dopey|7903|true|cares, boney, poley, mopey, dopey|11687, 8870, 8646, 7907, 7903|5
doubt|5250|true|cares, ponty, doilt, doubt|11687, 7181, 6401, 5250|4
dough|5011|true|cares, ponty, mould, dough|11687, 7181, 5881, 5011|4
dowdy|5673|true|cares, ponty, doily, dowdy|11687, 7181, 7086, 0|4
dowel|6745|true|cares, boney, poled, dowel|11687, 8870, 7922, 6745|4
downy|6103|true|cares, ponty, downy|11687, 7181, 6103|3
dowry|6004|true|cares, loury, dowry|11687, 6408, 6004|3
dozen|6629|true|cares, boney, moten, loden, doven, dozen|11687, 8870, 7207, 6810, 6765, 6629|6
draft|4794|true|cares, praty, brant, krait, tratt, draft|11687, 6453, 5782, 5164, 5731, 4794|6
drain|5244|true|cares, praty, braid, drain|11687, 6453, 5811, 5244|4
drake|6050|true|cares, brane, prate, drake|11687, 6748, 6734, 6050|4
drama|4760|true|cares, praty, braid, drank, drama|11687, 6453, 5811, 4888, 4760|5
drank|4888|true|cares, praty, braid, drank|11687, 6453, 5811, 4888|4
drape|5960|true|cares, brane, prate, drape|11687, 6748, 6734, 5960|4
drawl|4331|true|cares, praty, braid, drank, drama, drawl|11687, 6453, 5811, 4888, 4760, 4331|6
drawn|4359|true|cares, praty, braid, drank, drawn|11687, 6453, 5811, 4888, 4359|5
dread|5240|true|cares, bread, tread, oread, aread, dread|11687, 5526, 5408, 4747, 5322, 5240|6
dream|4523|true|cares, bread, dream|11687, 5526, 4523|3
dress|7743|false|cares, breis, frets, grens, prees, drees|11687, 8380, 8031, 7983, 9906, 9701|6
dried|6906|true|cares, pried, tried, fried, dried|11687, 7111, 7074, 6844, 6906|5
drier|6850|true|cares, pried, drier|11687, 7111, 0|3
drift|4568|true|cares, briny, trild, dript, drift|11687, 6241, 5362, 4768, 4568|5
drill|4885|true|cares, briny, trild, drill|11687, 6241, 5362, 0|4
drink|4662|true|cares, briny, print, grind, drink|11687, 6241, 5475, 5188, 4662|5
drive|5468|true|cares, brine, pride, drive|11687, 6522, 6011, 5468|4
droit|5258|true|cares, briny, droit|11687, 6241, 5258|3
droll|4805|true|cares, briny, proud, drool, droll|11687, 6241, 4869, 0, 4805|5
drone|6156|true|cares, brine, prone, trone, drone|11687, 6522, 6361, 6324, 6156|5
drool|4702|true|cares, briny, proud, drool|11687, 6241, 4869, 0|4
droop|4273|true|cares, briny, proud, droop|11687, 6241, 4869, 0|4
dross|7921|true|cares, brits, frons, prods, dross|11687, 8637, 8142, 7979, 7921|5
drove|5388|false|cares, brine, prole, wrote, frore, droke|11687, 6522, 6324, 5923, 5995, 5744|6
drown|4053|true|cares, briny, drown|11687, 6241, 4053|3
druid|4814|true|cares, briny, droit, druid|11687, 6241, 5258, 0|4
drunk|4177|true|cares, briny, front, grund, drunk|11687, 6241, 5128, 4703, 4177|5
dryer|5775|true|cares, pried, dryer|11687, 7111, 0|3
dryly|4843|true|cares, briny, truly, wryly, dryly|11687, 6241, 5601, 0, 4843|5
duchy|4545|true|cares, pocky, dicty, duchy|11687, 6047, 5531, 4545|4
dully|5727|true|cares, ponty, bilgy, hulky, dully|11687, 7181, 5791, 5114, 5727|5
dummy|4876|true|cares, ponty, bilgy, dumky, dummy|11687, 7181, 5791, 4964, 4876|5
dumpy|4874|true|cares, ponty, gilpy, bumpy, dumpy|11687, 7181, 5431, 5160, 4874|5
dunce|5781|true|cares, bonce, mince, punce, dunce|11687, 7069, 5997, 5986, 5781|5
dusky|5005|true|cares, bosky, pisky, tusky, musky, dusky|11687, 6293, 5422, 5173, 5009, 5005|6
dusty|5484|true|cares, bosky, misty, dusty|11687, 6293, 5700, 5484|4
dutch|3968|true|cares, poncy, mulct, butch, cutch, dutch|11687, 6707, 4676, 4254, 4292, 3968|6
duvet|6083|true|cares, boney, piled, duvet|11687, 8870, 7132, 6083|4
dwarf|3525|true|cares, goary, liart, pharm, award, dwarf|11687, 7207, 5644, 4329, 4440, 3525|6
dwell|3627|true|cares, goety, bield, dwell|11687, 6889, 5600, 0|4
dwelt|3975|true|cares, goety, fient, dwelt|11687, 6889, 5328, 3975|4
dying|3561|true|cares, ponty, dying|11687, 7181, 3561|3
eager|6903|false|cares, baler, pater, gamer, gager, rager|11687, 8139, 7825, 7422, 7281, 7261|6
eagle|6252|true|cares, eaved, eathe, eagle|11687, 0, 0, 0|4
early|6901|true|cares, early|11687, 6901|2
earth|5849|true|cares, early, earnt, earth|11687, 6901, 6253, 5849|4
easel|6832|false|cares, based, jasey, paseo, tases, mases|11687, 7848, 7712, 7273, 10783, 10619|6
eaten|6974|true|cares, waney, paten, laten, eaten|11687, 8476, 7600, 7264, 6974|5
eater|7199|false|cares, baler, pater, mater, tater, dater|11687, 8139, 7825, 7624, 7788, 7620|6
ebony|4344|true|cares, elogy, ebony|11687, 4676, 4344|3
eclat|3768|true|cares, eclat|11687, 3768|2
edict|3339|true|cares, edict|11687, 3339|2
edify|3729|true|cares, elogy, edify|11687, 4676, 3729|3
eerie|6590|true|cares, enrol, eyrir, eerie|11687, 3630, 0, 0|4
egret|5449|true|cares, bored, mirex, jurel, three, egret|11687, 8404, 6469, 6233, 7606, 5449|6
eight|3634|true|cares, elogy, eight|11687, 4676, 3634|3
eject|2990|true|cares, edict, elect, eject|11687, 3339, 0, 0|4
eking|2951|true|cares, elogy, ehing, eking|11687, 4676, 3536, 2951|4
elate|5801|true|cares, eland, elate|11687, 4729, 0|3
elbow|2578|true|cares, elogy, elbow|11687, 4676, 2578|3
elder|5270|true|cares, boner, piler, gluer, fleer, elder|11687, 8090, 7076, 6015, 6223, 5270|6
elect|3877|true|cares, edict, elect|11687, 3339, 0|3
elegy|4498|true|cares, elogy, elegy|11687, 4676, 0|3
elfin|3176|true|cares, elogy, elint, eldin, elfin|11687, 4676, 4542, 3438, 3176|5
elide|5078|true|cares, elogy, elint, elide|11687, 4676, 4542, 0|4
elite|5575|true|cares, elogy, elint, elite|11687, 4676, 4542, 0|4
elope|4926|true|cares, elogy, eloin, elope|11687, 4676, 4210, 0|4
elude|4593|true|cares, elogy, elint, elude|11687, 4676, 4542, 0|4
email|3814|true|cares, eland, email|11687, 4729, 3814|3
embed|4579|true|cares, boney, gibed, tubed, embed|11687, 8870, 6316, 6315, 4579|5
ember|4523|true|cares, boner, giber, tuber, weber, ember|11687, 8090, 6260, 6259, 6288, 4523|6
emcee|5640|true|cares, dicey, oncet, excel, emcee|11687, 7139, 4808, 0, 5640|5
empty|3725|true|cares, elogy, edify, empty|11687, 4676, 3729, 3725|4
enact|3893|true|cares, enact|11687, 3893|2
endow|2183|true|cares, elogy, eikon, endow|11687, 4676, 3734, 2183|4
enema|3080|true|cares, entia, enema|11687, 3316, 0|3
enemy|4001|true|cares, elogy, edify, empty, enemy|11687, 4676, 3729, 3725, 4001|5
enjoy|3351|true|cares, elogy, envoy, enjoy|11687, 4676, 3591, 3351|4
ennui|2684|true|cares, elogy, equid, ennui|11687, 4676, 3206, 0|4
ensue|3849|true|cares, eosin, ensky, ensue|11687, 5061, 3643, 0|4
enter|5064|true|cares, boner, inter, enter|11687, 8090, 4888, 0|4
entry|4070|true|cares, entry|11687, 4070|2
envoy|3591|true|cares, elogy, envoy|11687, 4676, 3591|3
epoch|2976|true|cares, edict, epoch|11687, 3339, 2976|3
epoxy|3584|true|cares, elogy, ebony, epoxy|11687, 4676, 4344, 3584|4
equal|3096|true|cares, eliad, equal|11687, 4770, 3096|3
equip|2468|true|cares, elogy, equid, equip|11687, 4676, 3206, 2468|4
erase|5758|true|cares, erase|11687, 0|2
erect|4184|true|cares, eruct, erect|11687, 3957, 0|3
erode|5305|true|cares, ering, erupt, error, erode|11687, 4053, 3862, 0, 5305|5
error|4658|true|cares, enrol, error|11687, 3630, 0|3
erupt|3862|true|cares, ering, erupt|11687, 4053, 3862|3
essay|3999|true|cares, essay|11687, 0|2
ester|4741|true|cares, osier, usher, ester|11687, 5259, 3990, 0|4
ether|4350|true|cares, boner, piler, muter, ether|11687, 8090, 7076, 6430, 4350|5
ethic|2016|true|cares, ethic|11687, 2016|2
ethos|5644|true|cares, eilds, eyots, ethos|11687, 7454, 6937, 5644|4
etude|4009|true|cares, elogy, equid, exude, etude|11687, 4676, 3206, 0, 4009|5
evade|4471|true|cares, eland, evade|11687, 4729, 0|3
event|3451|true|cares, elogy, equid, exeme, event|11687, 4676, 3206, 0, 3451|5
every|4037|true|cares, entry, every|11687, 4070, 0|3
evict|3302|true|cares, edict, evict|11687, 3339, 3302|3
evoke|4183|true|cares, elogy, enoki, evoke|11687, 4676, 2893, 0|4
exact|3532|true|cares, enact, epact, exact|11687, 3893, 3753, 3532|4
exalt|3902|true|cares, eland, exalt|11687, 4729, 3902|3
excel|4171|true|cares, dicey, oncet, excel|11687, 7139, 4808, 0|4
exert|3356|true|cares, entry, exert|11687, 4070, 0|3
exile|4642|true|cares, elogy, exult, exile|11687, 4676, 3191, 0|4
exist|3430|true|cares, exist|11687, 3430|2
expel|4145|true|cares, boney, piled, expel|11687, 8870, 7132, 0|4
extol|2635|true|cares, elogy, extol|11687, 4676, 2635|3
extra|2788|true|cares, extra|11687, 2788|2
exult|3191|true|cares, elogy, exult|11687, 4676, 3191|3
eying|3140|true|cares, elogy, eying|11687, 4676, 3140|3
fable|6572|true|cares, daine, haole, pagle, table, fable|11687, 7596, 7241, 6878, 6802, 6572|6
facet|7374|true|cares, pacey, maced, facet|11687, 8326, 7401, 7374|4
faint|6568|true|cares, banty, paint, daint, taint, faint|11687, 7454, 6835, 6630, 6798, 6568|6
fairy|7154|true|cares, dairy, fairy|11687, 7216, 7154|3
faith|6164|true|cares, banty, faith|11687, 7454, 6164|3
false|6894|true|cares, paise, manse, false|11687, 7518, 7103, 6894|4
fancy|6632|true|cares, talcy, dancy, fancy|11687, 6719, 6694, 6632|4
fanny|7039|true|cares, banty, manly, pandy, fanny|11687, 7454, 7068, 6876, 7039|5
farce|7171|true|cares, farce|11687, 7171|2
fatal|5897|true|cares, banty, patio, datum, fatal|11687, 7454, 5780, 4797, 5897|5
fatty|6730|true|cares, banty, laity, tatty, patty, fatty|11687, 7454, 7251, 0, 6997, 6730|6
fault|6046|true|cares, banty, dault, gault, fault|11687, 7454, 6108, 6065, 6046|5
fauna|5847|true|cares, banty, maund, fauna|11687, 7454, 6110, 0|4
favor|5305|true|cares, manor, gator, valor, favor|11687, 6185, 5762, 5527, 5305|5
feast|5814|true|cares, beast, feast|11687, 6162, 5814|3
fecal|4921|true|cares, decay, pecan, fecal|11687, 6016, 5216, 4921|4
feign|5080|true|cares, benty, pelon, deign, feign|11687, 6757, 5321, 5142, 5080|5
fella|5241|true|cares, tenia, belga, pelma, fella|11687, 5719, 5155, 5045, 5241|5
felon|5054|true|cares, benty, pelon, melon, felon|11687, 6757, 5321, 5120, 5054|5
femme|5592|true|cares, benty, geoid, velum, femme|11687, 6757, 5839, 3822, 5592|5
femur|4544|true|cares, tenor, demur, femur|11687, 5652, 4606, 4544|4
fence|6216|true|cares, bench, pence, fence|11687, 5127, 0, 0|4
feral|5834|true|cares, beray, derat, feral|11687, 7215, 6244, 5834|4
ferry|6501|true|cares, derny, ferly, ferry|11687, 6662, 6563, 0|4
fetal|5200|true|cares, belay, penal, metal, fetal|11687, 6814, 5843, 5266, 5200|5
fetch|4403|true|cares, bench, teuch, fetch|11687, 5127, 4738, 4403|4
fetid|5310|true|cares, benty, fetid|11687, 6757, 5310|3
fetus|7808|true|cares, beins, pelts, fetus|11687, 9233, 8862, 7808|4
fever|6423|false|cares, boner, piler, muter, ferer, fewer|11687, 8090, 7076, 6430, 7495, 6431|6
fewer|6431|true|cares, boner, piler, muter, ferer, fewer|11687, 8090, 7076, 6430, 7495, 6431|6
fiber|6241|true|cares, boner, giber, fiber|11687, 8090, 6260, 6241|4
fibre|5528|true|cares, moire, litre, fibre|11687, 7309, 5794, 5528|4
ficus|7244|true|cares, locis, dicts, picks, ficus|11687, 8520, 7860, 7586, 7244|5
field|5252|true|cares, goety, bield, field|11687, 6889, 5600, 5252|4
fiend|5289|true|cares, goety, bield, piend, fiend|11687, 6889, 5600, 5556, 5289|5
fiery|5914|true|cares, fiery|11687, 5914|2
fifth|4068|true|cares, ponty, filth, fifth|11687, 7181, 4825, 0|4
fifty|5224|true|cares, ponty, milty, wifty, fifty|11687, 7181, 6047, 4986, 5224|5
fight|3993|false|cares, ponty, built, might, tight, dight|11687, 7181, 5685, 4059, 4223, 4055|6
filer|6809|true|cares, boner, piler, tiler, miler, filer|11687, 8090, 7076, 7039, 6875, 6809|6
